entry_id	entry_status	error
DLP-albendazol_1-8253e.xml	new	Entry ID with '.xml' at the end
DLP-burgundio_1-2cb4c.xml	new	Entry ID with '.xml' at the end
DLP-lobo-siberiano_1-ba303.xml	validated	Entry ID with '.xml' at the end
DLP-arqueano_1-a0d52.xml	new	Entry ID with '.xml' at the end
DLP-geomorfia_1-1fc0f	new	'[...]' <definition> in sense DLP-geomorfia_1-1fc0f-1
DLP-covidico_1-5a708.xml	new	Entry ID with '.xml' at the end
DLP-segundo-cavalheiro_1-6197f.xml	new	Entry ID with '.xml' at the end
DLP-especiacao_1-7138c.xml	new	Entry ID with '.xml' at the end
DLP-opcionalmente_1-9e1ea.xml	new	Entry ID with '.xml' at the end
DLP-socar-se_1-aff25	edited	<sense> without xml_id
DLP-siririca_1-3fddf	new	unknown <usg> of type 'socioCultural': ...
DLP-chapeu-palheta_1-d95a3	new	'[...]' <definition> in sense DLP-chapeu-palheta_1-d95a3-1
DLP-desanelar_1-e97ab	new	'[...]' <definition> in sense DLP-desanelar_1-e97ab-1
DLP-biogerontologico_1-a71fd.xml	validated	Entry ID with '.xml' at the end
DLP-morituro_1-e6401.xml	validated	Entry ID with '.xml' at the end
DLP-minoico_1-88f5a.xml	new	Entry ID with '.xml' at the end
DLP-lucreciana_1-72363	new	'[...]' <definition> in sense DLP-lucreciana_1-72363-1
DLP-american_shorthair_1-92bb2.xml	new	Entry ID with '.xml' at the end
DLP-petauro-do-acucar_1-92daf.xml	new	Entry ID with '.xml' at the end
DLP-neurodegenerativo_1-4d1a6.xml	new	Entry ID with '.xml' at the end
DLP-escalabilidade_1-1a420.xml	new	Entry ID with '.xml' at the end
DLP-redoliano_1-11c6e.xml	needs revision	Entry ID with '.xml' at the end
DLP-viconiano_1-f078e.xml	new	Entry ID with '.xml' at the end
DLP-alocacao_1-12989.xml	new	Entry ID with '.xml' at the end
DLP-anteriano_1-c4adb.xml	validated	Entry ID with '.xml' at the end
DLP-kennedia_1-d5f8d	new	empty <definition> in sense DLP-kennedia_1-d5f8d-1
DLP-vermelho-sangue_1-7e8cc.xml	new	Entry ID with '.xml' at the end
DLP-pelecaniforme_1-d1641	new	'[...]' <definition> in sense DLP-pelecaniforme_1-d1641-1
DLP-serotipo_1-76a64.xml	new	Entry ID with '.xml' at the end
DLP-kg_1-ebe86.xml	new	Entry ID with '.xml' at the end
DLP-diafa_1-01d88	imported	unknown <usg> of type 'geographic': Region. (Alent., Alg.).
DLP-flanqueamento_1-d4db4.xml	new	Entry ID with '.xml' at the end
DLP-kepleria_1-c4085	new	empty <definition> in sense DLP-kepleria_1-c4085-1
DLP-biogerontologo_1-088cf.xml	new	Entry ID with '.xml' at the end
DLP-estrangeirizacao_1-172f6	new	'[...]' <definition> in sense DLP-estrangeirizacao_1-172f6-1
DLP-mg_1-b351b.xml	new	Entry ID with '.xml' at the end
DLP-editavel_1-db520.xml	new	Entry ID with '.xml' at the end
DLP-lobo-da-tasmania_1-fc722.xml	validated	Entry ID with '.xml' at the end
DLP-gato-de-bengala_1-d75e5.xml	validated	Entry ID with '.xml' at the end
DLP-website_1-d1bef.xml	new	Entry ID with '.xml' at the end
DLP-transjordano2_1-b89d9	new	'[...]' <definition> in sense DLP-transjordano2_1-b89d9-1
DLP-british_shorthair_1-00e54.xml	validated	Entry ID with '.xml' at the end
DLP-epinefrina_1-4f736.xml	new	Entry ID with '.xml' at the end
DLP-accipitrideo_1-fe3e4	new	'[...]' <definition> in sense DLP-accipitrideo_1-fe3e4-1
DLP-acorda_1-db00f	imported	unknown <usg> of type 'geographic': Region. (Alent., Alg.).
DLP-wiedmannia_1-45185	new	empty <definition> in sense DLP-wiedmannia_1-45185-1
DLP-infetavel_1-8427a.xml	validated	Entry ID with '.xml' at the end
DLP-anime_1-9edce.xml	new	Entry ID with '.xml' at the end
DLP-papilite_1-e8dbc.xml	validated	Entry ID with '.xml' at the end
DLP-disseminavel_1-94f03.xml	validated	Entry ID with '.xml' at the end
DLP-astrofotografico_1-1e56c.xml	new	Entry ID with '.xml' at the end
DLP-subcoberta_1-3874c.xml	validated	Entry ID with '.xml' at the end
DLP-infodemia_1-157dd.xml	new	Entry ID with '.xml' at the end
DLP-tralho2_1-c64d5.xml	validated	Entry ID with '.xml' at the end
